x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
60,Delaware,3.6,62.5,3.6,37.5,58.7,67.2,77.6,4.7,26,40,18.9,8.1,25,81.7,14.2,4.1,61255,81120,31441,37810,51037,45192,4.9,2,13,8.7,24.8,11.7,71.3,5.9,2015,80898.02720619066,2.0642535595313483,0
112,Delaware,3.6,61.4,3.5,38.6,57.8,71.7,77.8,4.5,26.1,39.9,17.5,7.9,26.1,82.4,13.5,3.9,61757,81349,31712,37052,50924,41771,4.5,2.4,11.2,8.1,22,11,71.4,5.7,2016,75728.66633192595,-6.389971489773394,0
164,Delaware,5.4,59.3,3.1,40.7,55.2,67.5,70.7,5.2,26.5,40.7,15.8,7.8,23.7,81.7,13.7,4.4,62852,86577,33887,37458,54657,47052,3.9,1.9,10.4,9.2,22.8,13.4,73.6,5.4,2017,72609.40641500216,-4.11899491699983,0
216,Delaware,4.1,62.1,3.5,37.9,58.3,71.9,76.4,5.7,26.4,38.8,18.9,8.9,24.9,80.2,15.2,4.6,64805,84896,33745,37581,51923,43803,4.9,1.8,11.3,8.4,23.2,12.2,70.6,5.7,2018,73275.59372689339,0.917494502136007,0
268,Delaware,3.7,62.4,2.9,37.6,58.6,65.8,75.1,5.2,26.7,40.5,18,6.9,24.7,79.6,15.6,4.5,70176,92445,36858,44071,56350,46907,5.1,2.8,10.1,7.6,21.9,10.8,70.9,6.6,2019,76410.61240872026,4.27839410419717,0
320,Delaware,4.2,60.1,3.3,39.9,56.9,67.7,73.3,18.6,25.4,42.1,17.3,6.6,24.4,79.6,15.7,4.4,71091,95633,38797,45456,60608,51827,4.9,2.4,10.5,8.6,24.9,11.3,71.2,5.7,2021,74821.66485927193,-2.079485426643435,1
372,Delaware,3.4,62.7,2.7,37.3,58.8,77.4,80.7,15.1,26.1,43.4,17,7.2,23.5,81.3,14.3,4.3,82174,105438,42571,46579,63310,51912,4.4,2.1,10.9,6.5,17.5,8.7,71.8,5.6,2022,79499.6270627936,6.252149310390509,1
424,Delaware,3.8,62.2,2.1,37.8,58.5,75.7,82.4,13.6,26.8,44.3,16.6,8.7,24.8,80.2,15.6,3.9,81361,109486,44350,49863,62894,54740,5.2,2.6,11.5,7.4,20.1,9.8,69.1,6.5,2023,79287.76051476113,-0.26650005271738886,1
476,Delaware,3.1,62.6,3.2,37.4,60,77.9,82.3,12.9,26.8,44.8,16.9,7.6,27.3,79.1,16,4.8,87534,114291,45438,51848,65194,57209,4.9,2.1,10,6.4,16.4,8.5,69.8,6.9,2024,81276.66949490679,2.5084691095233813,1
9,District of Columbia,3.5,68.9,6.1,31.1,66.7,73.8,75.4,5,29.3,60,15.5,1.1,19.2,72.4,23.7,3.8,71648,103525,45877,61126,68932,61718,5.8,3.7,14.1,14.2,30.2,16.1,68,5.3,2014,191204.530419543,NA,0
61,District of Columbia,3.5,69.8,5,30.2,66.8,75.3,76.9,6,29.8,61.8,15.7,1.4,19.5,70.8,24.4,4.7,75628,114600,50187,62840,72230,62191,5.5,3.3,15.3,14,31,15.5,70.5,3.8,2015,190705.36207523034,-0.26106512393685444,0
113,District of Columbia,2.5,69.3,4.8,30.7,67.1,76.3,79.5,6,30.8,61.4,15.8,1.2,18.5,71.1,24.9,4,75506,114432,50567,61948,75343,64908,5.4,3.9,14.5,13.7,32.8,17.6,68.4,3.9,2016,192295.542601836,0.8338415392737497,0
